仿真时间,持续时间
0,0
1,2.516
2,4.539
3,7.006
4,9.437
5,12.046
6,14.585
7,17.215
8,19.862
9,22.364
10,24.745
11,27.101
12,29.521
13,31.935
14,34.244
15,36.57
16,39.001
17,41.391
18,43.748
19,46.139
20,48.459
21,50.737
22,53.045
23,55.366
24,57.652
25,59.953
26,62.224
27,64.482
28,66.691
29,68.947
30,71.174
31,73.424
32,75.645
33,77.84
34,80.008
35,82.214
36,84.392
37,86.535
38,88.762
39,90.958
40,93.085
41,95.224
42,97.383
43,99.569
44,101.787
45,103.934
46,106.057
47,108.246
48,110.4
49,112.506
50,114.587
51,116.688
52,118.826
53,121.072
54,123.192
55,125.288
56,127.446
57,129.766
58,132.214
59,134.613
60,136.861
61,139.274
62,141.821
63,144.198
64,146.609
65,149.1
66,151.51
67,153.967
68,156.475
69,158.863
70,161.352
71,163.889
72,166.316
73,168.801
74,171.239
75,173.643
76,176.142
77,178.696
78,181.112
79,183.611
80,186.152
81,188.523
82,190.99
83,193.623
84,196.132
85,198.572
86,201.081
87,203.513
88,205.957
89,208.424
90,210.945
91,213.349
92,215.788
93,218.312
94,220.686
95,223.116
96,225.548
97,228.086
98,230.528
99,232.902
100,235.302
101,237.75
102,240.087
103,242.711
104,245.276
105,247.821
106,250.41
107,253.027
108,255.673
109,258.212
110,260.864
111,263.453
112,266.068
113,268.737
114,271.429
115,274.025
116,276.843
117,279.251
118,281.666
119,284.173
120,286.47
121,288.819
122,291.142
123,293.431
124,295.649
125,297.864
126,300.068
127,302.335
128,304.606
129,306.782
130,308.998
131,311.228
132,313.517
133,315.705
134,317.938
135,320.099
136,322.29
137,324.5
138,326.727
139,328.948
140,331.172
141,333.429
142,335.617
143,337.835
144,340.067
145,342.242
146,344.439
147,346.622
148,348.8
149,350.983
150,353.244
151,355.39
152,357.51
153,359.733
154,361.916
155,364.05
156,366.184
157,368.347
158,370.466
159,372.633
160,374.967
161,377.102
162,379.213
163,381.398
164,383.644
165,385.771
166,387.917
167,390.056
168,392.176
169,394.304
170,396.472
171,398.575
172,400.688
173,402.875
174,405.033
175,407.149
176,409.349
177,411.439
178,413.564
179,415.678
180,417.826
181,419.939
182,422.042
183,424.319
184,426.506
185,428.671
186,430.867
187,432.988
188,435.139
189,437.306
190,439.496
191,441.636
192,443.797
193,445.959
194,448.029
195,450.151
196,452.241
197,454.364
198,456.594
199,458.703
200,460.759
201,462.845
202,464.963
203,467.036
204,469.149
205,471.344
206,473.447
207,475.476
208,477.547
209,479.599
210,481.652
211,483.785
212,485.868
213,487.954
214,490.039
215,492.232
216,494.341
217,496.412
218,498.484
219,500.532
220,502.642
221,504.731
222,506.767
223,508.882
224,511.019
225,513.245
226,515.664
227,518.073
228,520.415
229,522.549
230,524.619
231,526.713
232,528.864
233,530.985
234,533.064
235,535.175
236,537.267
237,539.354
238,541.457
239,543.529
240,545.614
241,547.711
242,549.755
243,551.811
244,554.027
245,556.139
246,558.171
247,560.248
248,562.294
249,564.345
250,566.431
251,568.541
252,570.579
253,572.672
254,574.762
255,576.807
256,578.899
257,581.007
258,583.056
259,585.123
260,587.33
261,589.762
262,592.244
263,594.399
264,596.434
265,598.541
266,600.639
267,602.677
268,604.759
269,606.82
270,608.888
271,610.967
272,613.041
273,615.087
274,617.153
275,619.238
276,621.314
277,623.407
278,625.472
279,627.537
280,629.633
281,631.731
282,633.84
283,635.906
284,638.001
285,640.11
286,642.225
287,644.307
288,646.388
289,648.428
290,650.536
291,652.624
292,654.673
293,656.712
294,658.78
295,660.879
296,662.939
297,665.016
298,667.125
299,669.169
300,671.235
301,673.425
302,675.486
303,677.575
304,679.663
305,681.703
306,683.778
307,685.867
308,687.92
309,690.022
310,692.062
311,694.125
312,696.194
313,698.292
314,700.325
315,702.402
316,704.491
317,706.526
318,708.589
319,710.69
320,712.76
321,714.818
322,716.918
323,718.965
324,721.035
325,723.141
326,725.199
327,727.286
328,729.437
329,731.479
330,733.616
331,735.793
332,737.872
333,740.042
334,742.383
335,744.522
336,746.6
337,748.719
338,750.783
339,752.88
340,754.96
341,757.02
342,759.111
343,761.281
344,763.343
345,765.446
346,767.538
347,769.563
348,771.671
349,773.757
350,775.808
351,777.862
352,779.944
353,782.052
354,784.138
355,786.208
356,788.351
357,790.404
358,792.463
359,794.547
360,796.607
361,798.67
362,800.723
363,802.782
364,804.853
365,806.955
366,809.034
367,811.093
368,813.17
369,815.235
370,817.273
371,819.345
372,821.391
373,823.469
374,825.545
375,827.659
376,829.795
377,831.9
378,833.977
379,836.086
380,838.142
381,840.21
382,842.291
383,844.37
384,846.429
385,848.517
386,850.572
387,852.727
388,854.884
389,856.909
390,858.958
391,861.021
392,863.089
393,865.169
394,867.241
395,869.275
396,871.347
397,873.454
398,875.493
399,877.55
400,879.622
401,881.728
402,883.77
403,885.843
404,887.93
405,889.961
406,892.071
407,894.163
408,896.208
409,898.252
410,900.35
411,902.41
412,904.441
413,906.525
414,908.563
415,910.61
416,912.74
417,914.93
