仿真时间,持续时间
0,0
1,1.547
2,3.041
3,4.344
4,5.666
5,7.118
6,8.589
7,10.215
8,11.825
9,13.455
10,14.959
11,16.434
12,17.856
13,19.271
14,20.703
15,22.157
16,23.619
17,25.103
18,26.586
19,28.01
20,29.42
21,30.872
22,32.288
23,33.689
24,35.118
25,36.564
26,37.974
27,39.406
28,40.809
29,42.208
30,43.591
31,45.004
32,46.42
33,47.803
34,49.175
35,50.566
36,51.958
37,53.357
38,54.765
39,56.161
40,57.519
41,58.905
42,60.265
43,61.626
44,63.004
45,64.35
46,65.681
47,67.029
48,68.359
49,69.72
50,71.086
51,72.43
52,73.738
53,75.036
54,76.335
55,77.631
56,78.95
57,80.303
58,81.673
59,83.065
60,84.495
61,85.955
62,87.453
63,88.93
64,90.406
65,91.883
66,93.368
67,94.862
68,96.351
69,97.839
70,99.339
71,100.848
72,102.354
73,103.86
74,105.351
75,106.842
76,108.34
77,109.829
78,111.325
79,112.826
80,114.334
81,115.814
82,117.299
83,118.793
84,120.291
85,121.811
86,123.351
87,124.919
88,126.505
89,128.062
90,129.606
91,131.109
92,132.639
93,134.182
94,135.727
95,137.299
96,138.804
97,140.32
98,141.84
99,143.369
100,144.916
101,146.469
102,147.984
103,149.456
104,150.982
105,152.517
106,154.075
107,155.653
108,157.17
109,158.691
110,160.224
111,161.756
112,163.315
113,164.884
114,166.409
115,167.873
116,169.367
117,170.869
118,172.354
119,173.815
120,175.243
121,176.658
122,178.066
123,179.511
124,180.939
125,182.365
126,183.703
127,185.078
128,186.435
129,187.82
130,189.187
131,190.581
132,191.97
133,193.352
134,194.719
135,196.056
136,197.387
137,198.726
138,200.051
139,201.373
140,202.7
141,204.014
142,205.325
143,206.642
144,207.946
145,209.261
146,210.596
147,211.934
148,213.315
149,214.654
150,215.988
151,217.313
152,218.641
153,219.96
154,221.296
155,222.622
156,223.953
157,225.282
158,226.611
159,227.928
160,229.244
161,230.579
162,231.895
163,233.211
164,234.531
165,235.839
166,237.158
167,238.465
168,239.765
169,241.067
170,242.417
171,243.715
172,245.017
173,246.32
174,247.613
175,248.923
176,250.223
177,251.515
178,252.813
179,254.106
180,255.397
181,256.695
182,257.989
183,259.275
184,260.572
185,261.863
186,263.151
187,264.468
188,265.755
189,267.051
190,268.346
191,269.628
192,270.924
193,272.218
194,273.51
195,274.802
196,276.093
197,277.377
198,278.668
199,279.95
200,281.253
201,282.546
202,283.83
203,285.118
204,286.404
205,287.684
206,288.975
207,290.263
208,291.535
209,292.825
210,294.11
211,295.387
212,296.68
213,297.961
214,299.248
215,300.543
216,301.828
217,303.123
218,304.413
219,305.696
220,306.992
221,308.289
222,309.576
223,310.873
224,312.167
225,313.45
226,314.754
227,316.038
228,317.325
229,318.617
230,319.906
231,321.188
232,322.483
233,323.768
234,325.057
235,326.358
236,327.64
237,328.937
238,330.236
239,331.512
240,332.807
241,334.093
242,335.377
243,336.682
244,337.967
245,339.257
246,340.543
247,341.831
248,343.121
249,344.419
250,345.703
251,347.001
252,348.292
253,349.568
254,350.86
255,352.151
256,353.434
257,354.729
258,356.018
259,357.308
260,358.599
261,359.885
262,361.175
263,362.467
264,363.752
265,365.047
266,366.336
267,367.615
268,368.91
269,370.201
270,371.483
271,372.769
272,374.056
273,375.342
274,376.632
275,377.92
276,379.211
277,380.505
278,381.786
279,383.075
280,384.364
281,385.645
282,386.936
283,388.227
284,389.509
285,390.799
286,392.089
287,393.374
288,394.667
289,395.948
290,397.237
