仿真时间,持续时间
0,0
1,4.914
2,10.188
3,15.414
4,21.05
5,27.057
6,33.926
7,41.438
8,48.653
9,55.641
10,62.358
11,68.772
12,75.045
13,81.315
14,87.474
15,93.922
16,100.172
17,106.472
18,112.722
19,118.989
20,125.188
21,131.258
22,137.308
23,143.469
24,149.507
25,155.347
26,161.123
27,166.823
28,172.51
29,178.188
30,184.034
31,189.707
32,195.499
33,201.132
34,206.817
35,212.377
36,217.948
37,223.502
38,229.102
39,234.616
40,240.311
41,245.957
42,251.402
43,256.878
44,262.499
45,267.903
46,273.376
47,278.909
48,284.458
49,289.856
50,295.177
51,300.693
52,305.958
53,311.235
54,316.425
55,321.619
56,326.962
57,332.592
58,338.25
59,344.39
60,350.613
61,356.967
62,363.443
63,369.835
64,376.183
65,382.51
66,388.891
67,395.205
68,401.55
69,407.904
70,414.255
71,420.959
72,427.346
73,433.788
74,440.33
75,446.689
76,453.214
77,459.61
78,465.966
79,472.312
80,478.725
81,485.198
82,491.637
83,498.217
84,504.584
85,511.272
86,517.76
87,524.109
88,530.433
89,536.762
90,543.375
91,549.757
92,556.128
93,562.447
94,568.834
95,575.132
96,581.626
97,588.109
98,594.423
99,600.896
100,607.239
101,613.555
102,620.07
103,626.349
104,632.606
105,638.855
106,645.177
107,651.597
108,657.79
109,664.216
110,670.397
111,676.931
112,683.694
113,690.102
114,696.306
115,702.371
116,708.62
117,714.814
118,721.158
119,727.162
120,733.033
121,738.877
122,744.669
123,750.368
124,756.02
125,761.61
126,767.24
127,772.883
128,778.423
129,784.045
130,789.638
131,795.15
132,800.646
133,806.146
134,811.619
135,817.066
136,822.506
137,827.924
138,833.322
139,838.707
140,844.294
141,849.659
142,855.471
143,862.088
144,869.442
145,877.102
146,884.39
147,892.411
148,899.74
149,905.073
150,910.561
151,916.082
152,921.342
153,926.555
154,931.805
155,936.974
156,942.271
157,947.507
158,952.727
159,957.885
160,963.102
161,968.383
162,973.626
163,978.905
164,984.105
165,989.196
166,994.33
167,999.511
168,1004.604
169,1009.803
170,1014.886
171,1020.092
172,1025.257
173,1030.339
174,1035.504
175,1040.561
176,1045.654
177,1050.714
178,1055.773
179,1060.832
180,1065.899
181,1070.957
182,1076.006
183,1081.126
184,1086.24
185,1091.306
186,1096.347
187,1101.396
188,1106.732
189,1111.787
190,1116.936
191,1121.998
192,1127.088
193,1132.122
194,1137.165
195,1142.202
196,1147.25
197,1152.301
198,1157.36
199,1162.411
200,1167.434
201,1172.65
202,1178.025
203,1183.535
204,1188.854
205,1194.074
206,1199.293
207,1204.539
208,1209.871
209,1215.247
210,1220.473
211,1225.727
212,1231.002
213,1236.266
214,1241.595
215,1246.83
216,1252.129
217,1257.335
218,1262.579
219,1267.965
