仿真时间,持续时间
0,0
1,3.652
2,7.167
3,10.993
4,15.164
5,19.669
6,24.412
7,29.416
8,34.434
9,39.369
10,44.161
11,48.851
12,53.398
13,57.931
14,62.484
15,67.128
16,71.761
17,76.375
18,80.946
19,85.445
20,89.918
21,94.408
22,98.876
23,103.336
24,107.789
25,112.2
26,116.499
27,120.742
28,124.977
29,129.195
30,133.415
31,137.643
32,141.875
33,146.105
34,150.309
35,154.515
36,158.71
37,162.897
38,167.076
39,171.234
40,175.397
41,179.556
42,183.702
43,187.832
44,191.973
45,196.152
46,200.269
47,204.322
48,208.379
49,212.442
50,216.503
51,220.581
52,224.643
53,228.693
54,232.664
55,236.7
56,240.758
57,245.005
58,249.405
59,253.998
60,258.666
61,263.518
62,268.408
63,273.296
64,278.157
65,283.06
66,287.885
67,292.679
68,297.538
69,302.388
70,307.197
71,312.012
72,316.833
73,321.67
74,326.488
75,331.316
76,336.167
77,341.143
78,345.986
79,350.833
80,355.659
81,360.486
82,365.309
83,370.129
84,374.945
85,379.76
86,384.586
87,389.413
88,394.231
89,399.048
90,403.875
91,408.705
92,413.547
93,418.37
94,423.172
95,427.976
96,432.791
97,437.608
98,442.408
99,447.18
100,451.958
101,456.759
102,461.562
103,466.35
104,471.129
105,475.91
106,480.67
107,485.423
108,490.16
109,494.88
110,499.585
111,504.289
112,508.982
113,513.65
114,518.303
115,522.934
116,527.544
117,532.114
118,536.656
119,541.173
120,545.652
121,550.091
122,554.502
123,558.867
124,563.182
125,567.444
126,571.704
127,575.963
128,580.208
129,584.428
130,588.644
131,592.845
132,597.046
133,601.234
134,605.43
135,609.597
136,613.754
137,617.897
138,622.062
139,626.185
140,630.296
141,634.405
142,638.497
143,642.575
144,646.637
145,650.69
146,654.74
147,658.79
148,662.847
149,666.9
150,670.917
151,674.917
152,678.915
153,682.917
154,686.926
155,690.937
156,694.92
157,698.897
158,702.904
159,706.898
160,710.897
161,714.891
162,718.891
163,722.84
164,726.783
165,730.741
166,734.704
167,738.679
168,742.635
169,746.55
170,750.508
171,754.474
172,758.44
173,762.384
174,766.332
175,770.268
176,774.178
177,778.103
178,782.032
179,785.974
180,789.915
181,793.832
182,797.737
183,801.659
184,805.596
185,809.533
186,813.474
187,817.382
188,821.288
189,825.214
190,829.137
191,833.07
192,837.007
193,840.936
194,844.818
195,848.693
196,852.571
197,856.451
198,860.327
199,864.207
200,868.088
201,871.984
202,875.867
203,879.743
204,883.613
205,887.488
206,891.434
207,895.377
208,899.324
209,903.346
210,907.37
211,911.298
212,915.295
213,919.206
214,923.16
215,927.045
216,930.922
217,934.808
218,938.717
219,942.603
220,946.498
221,950.383
222,954.265
223,958.142
224,962.018
225,965.889
226,969.783
227,973.676
228,977.561
229,981.442
230,985.321
231,989.192
232,993.074
233,996.958
234,1000.826
235,1004.734
236,1008.623
237,1012.505
238,1016.396
239,1020.28
240,1024.165
241,1028.045
242,1031.921
243,1035.814
244,1039.683
245,1043.564
246,1047.438
247,1051.32
248,1055.196
249,1059.083
250,1062.991
251,1066.877
252,1070.744
253,1074.611
254,1078.482
255,1082.353
256,1086.23
257,1090.097
258,1093.97
259,1097.867
260,1101.748
261,1105.648
262,1109.534
263,1113.423
264,1117.298
265,1121.19
266,1125.066
267,1128.947
268,1132.817
269,1136.687
270,1140.56
271,1144.438
272,1148.353
273,1152.266
274,1156.149
275,1160.017
276,1163.911
277,1167.785
278,1171.665
279,1175.535
280,1179.411
281,1183.283
282,1187.153
283,1191.035
284,1194.915
285,1198.797
286,1202.675
287,1206.556
288,1210.449
289,1214.324
290,1218.21
291,1222.09
292,1225.954
293,1229.819
294,1233.693
295,1237.562
296,1241.436
297,1245.312
298,1249.175
299,1253.041
300,1256.908
301,1260.771
302,1264.64
303,1268.516
304,1272.386
305,1276.252
306,1280.124
307,1283.992
308,1287.857
309,1291.717
310,1295.578
311,1299.446
312,1303.324
313,1307.212
314,1311.083
315,1314.971
316,1318.845
317,1322.722
318,1326.588
319,1330.451
320,1334.319
321,1338.184
322,1342.053
323,1345.924
324,1349.802
325,1353.674
326,1357.551
327,1361.426
328,1365.299
329,1369.177
330,1373.062
331,1376.924
332,1380.804
333,1384.681
334,1388.555
335,1392.425
336,1396.306
337,1400.187
338,1404.069
339,1407.974
340,1411.956
341,1415.889
342,1419.825
343,1423.793
344,1427.774
345,1431.73
346,1435.656
347,1439.589
348,1443.556
349,1447.49
350,1451.45
351,1455.399
352,1459.333
353,1463.272
354,1467.271
355,1471.257
356,1475.212
357,1479.176
358,1483.142
359,1487.087
360,1491.061
361,1495.001
362,1498.935
363,1502.883
364,1506.884
365,1510.806
366,1514.782
367,1518.709
368,1522.68
369,1526.667
370,1530.579
371,1534.548
372,1538.497
373,1542.507
374,1546.499
375,1550.51
376,1554.439
377,1558.417
378,1562.372
379,1566.286
380,1570.246
381,1574.201
382,1578.15
383,1582.088
384,1586.042
385,1589.958
386,1593.889
387,1597.821
388,1601.776
389,1605.718
390,1609.654
391,1613.585
392,1617.545
393,1621.467
394,1625.396
395,1629.309
396,1633.215
397,1637.078
398,1640.936
399,1644.802
400,1648.651
401,1652.512
402,1656.366
403,1660.217
404,1664.07
405,1667.921
406,1671.775
407,1675.631
408,1679.491
409,1683.344
410,1687.199
411,1691.051
412,1694.897
413,1698.764
414,1702.629
415,1706.489
416,1710.354
417,1714.212
418,1718.077
419,1721.95
420,1725.801
421,1729.646
422,1733.505
423,1737.36
424,1741.21
425,1745.063
426,1748.906
427,1752.758
428,1756.612
429,1760.46
430,1764.313
431,1768.167
432,1772.018
433,1775.865
434,1779.72
435,1783.572
436,1787.431
437,1791.291
438,1795.145
439,1799.01
440,1802.895
441,1806.756
442,1810.612
443,1814.473
444,1818.332
445,1822.196
446,1826.052
447,1829.908
448,1833.757
449,1837.606
450,1841.452
451,1845.302
452,1849.158
453,1853.011
454,1856.859
455,1860.704
456,1864.557
457,1868.404
458,1872.259
459,1876.166
460,1880.077
461,1884.038
462,1887.952
463,1891.885
464,1895.851
465,1899.821
466,1903.766
467,1907.686
468,1911.627
469,1915.592
470,1919.534
471,1923.47
472,1927.381
473,1931.342
474,1935.282
475,1939.196
476,1943.148
477,1947.06
478,1951.007
479,1954.937
480,1958.896
481,1962.81
482,1966.758
483,1970.717
484,1974.706
485,1978.618
486,1982.53
487,1986.494
488,1990.425
489,1994.324
490,1998.238
491,2002.135
492,2006.091
493,2010.013
494,2013.934
495,2017.861
496,2021.809
497,2025.72
498,2029.615
499,2033.52
500,2037.436
501,2041.355
502,2045.256
