仿真时间,持续时间
0,0
1,1.988
2,3.28
3,4.648
4,6.147
5,8.2
6,9.877
7,11.699
8,13.459
9,15.236
10,17.111
11,18.695
12,20.25
13,21.916
14,23.539
15,25.143
16,26.767
17,28.294
18,29.877
19,31.462
20,32.947
21,34.565
22,36.079
23,37.639
24,39.162
25,40.628
26,42.148
27,43.587
28,45.013
29,46.498
30,47.952
31,49.388
32,50.846
33,52.249
34,53.668
35,55.131
36,56.515
37,57.933
38,59.414
39,60.812
40,62.255
41,63.675
42,65.061
43,66.458
44,67.889
45,69.231
46,70.603
47,72.024
48,73.363
49,74.734
50,76.124
51,77.475
52,78.827
53,80.218
54,81.522
55,82.892
56,84.29
57,85.683
58,87.167
59,88.738
60,90.266
61,91.894
62,93.573
63,95.172
64,96.797
65,98.478
66,100.046
67,101.722
68,103.384
69,104.966
70,106.609
71,108.281
72,109.89
73,111.596
74,113.203
75,114.831
76,116.551
77,118.156
78,119.794
79,121.536
80,123.172
81,124.801
82,126.522
83,128.201
84,129.817
85,131.448
86,133.076
87,134.745
88,136.4
89,138.018
90,139.709
91,141.4
92,143.006
93,144.66
94,146.276
95,147.865
96,149.555
97,151.19
98,152.777
99,154.432
100,156.121
101,157.711
102,159.409
103,161.077
104,162.652
105,164.255
106,165.815
107,167.45
108,169.177
109,170.742
110,172.342
111,173.993
112,175.537
113,177.132
114,178.739
115,180.264
116,181.844
117,183.453
118,184.927
119,186.451
120,187.99
121,189.503
122,190.958
123,192.463
124,193.943
125,195.365
126,196.81
127,198.213
128,199.645
129,201.248
130,202.634
131,204.066
132,205.508
133,206.871
134,208.291
135,209.681
136,211.083
137,212.489
138,213.892
139,215.269
140,216.675
141,218.063
142,219.42
143,220.805
144,222.229
145,223.557
146,224.911
147,226.257
148,227.609
149,229.032
150,230.429
151,231.78
152,233.161
153,234.534
154,235.856
155,237.435
156,238.768
157,240.111
158,241.487
159,242.79
160,244.143
161,245.487
162,246.822
163,248.137
164,249.488
165,250.853
166,252.169
167,253.521
168,254.804
169,256.159
170,257.526
171,258.831
172,260.156
173,261.515
174,262.849
175,264.165
176,265.477
177,266.776
178,268.148
179,269.489
180,270.81
181,272.152
182,273.504
183,274.819
184,276.151
185,277.526
186,278.846
187,280.2
188,281.487
189,282.798
190,284.196
191,285.486
192,286.836
193,288.212
194,289.583
195,290.917
196,292.344
197,293.635
198,294.97
199,296.359
200,297.67
201,299.006
202,300.368
203,301.722
204,303.045
205,304.414
206,305.718
207,307.037
208,308.35
209,309.657
210,311.001
211,312.341
212,313.646
213,314.973
214,316.347
215,317.633
216,319.01
217,320.41
218,321.731
219,323.089
220,324.407
221,325.714
222,327.049
223,328.402
224,329.699
225,331.024
226,332.391
227,333.689
228,335.032
229,336.314
230,337.643
231,338.988
232,340.301
233,341.628
234,342.964
235,344.3
236,345.616
237,346.952
238,348.246
239,349.569
240,351.008
241,352.307
242,353.636
243,354.994
244,356.302
245,357.636
246,359.002
247,360.31
248,361.627
249,362.947
250,364.254
251,365.599
252,366.919
253,368.228
254,369.604
255,371.147
256,372.552
257,373.913
258,375.269
259,376.605
260,377.959
261,379.315
262,380.665
263,382.075
264,383.49
265,384.815
266,386.285
267,387.68
268,389.051
269,390.4
270,391.78
271,393.166
272,394.654
273,396.103
274,397.597
275,398.996
276,400.333
277,401.726
278,403.045
279,404.378
280,405.68
281,406.988
282,408.339
283,409.675
284,411.042
285,412.38
286,413.713
287,415.043
288,416.392
289,417.722
290,419.066
291,420.494
292,421.912
293,423.258
294,424.615
295,426.008
296,427.308
297,428.679
298,430.051
299,431.363
300,432.687
301,434.051
302,435.405
303,436.699
304,438.062
305,439.391
306,440.687
307,442.042
308,443.378
309,444.685
310,446.004
311,447.314
312,448.62
313,449.981
314,451.279
315,452.592
316,453.942
317,455.253
318,456.567
319,457.877
320,459.194
321,460.513
322,461.865
323,463.162
324,464.485
325,465.847
326,467.133
327,468.45
328,469.816
329,471.235
330,472.553
331,473.847
332,475.163
333,476.506
334,477.848
335,479.168
336,480.515
337,481.903
338,483.251
339,484.599
340,485.94
341,487.337
342,488.705
343,490.119
344,491.485
345,492.882
346,494.3
347,495.706
348,497.101
349,498.482
350,499.921
351,501.367
352,502.741
353,504.154
354,505.556
355,506.907
356,508.311
357,509.696
358,511.068
359,512.473
360,513.829
361,515.139
362,516.497
363,517.885
364,519.265
365,520.611
366,521.975
367,523.373
368,524.71
369,526.073
370,527.448
371,528.754
372,530.144
373,531.542
374,532.85
375,534.169
376,535.531
377,536.841
378,538.165
379,539.51
380,540.866
381,542.219
382,543.549
383,544.867
384,546.199
385,547.6
386,548.941
387,550.274
388,551.635
389,553.028
390,554.355
