仿真时间,持续时间
0,0
1,0.488
2,0.998
3,1.562
4,2.106
5,2.672
6,3.274
7,3.925
8,4.624
9,5.385
10,6.145
11,6.811
12,7.471
13,8.152
14,8.827
15,9.518
16,10.194
17,10.884
18,11.546
19,12.165
20,12.784
21,13.41
22,14.054
23,14.726
24,15.4
25,16.095
26,16.769
27,17.447
28,18.086
29,18.684
30,19.275
31,19.865
32,20.454
33,21.039
34,21.626
35,22.231
36,22.82
37,23.413
38,24.003
39,24.592
40,25.182
41,25.775
42,26.386
43,26.973
44,27.559
45,28.151
46,28.73
47,29.308
48,29.889
