仿真时间,持续时间
0,0
1,2.739
2,4.615
3,6.559
4,8.643
5,10.798
6,13.083
7,15.475
8,17.986
9,20.668
10,23.304
11,25.89
12,28.485
13,31.104
14,33.56
15,36.083
16,38.583
17,40.944
18,43.386
19,45.759
20,48.143
21,50.539
22,52.962
23,55.462
24,57.829
25,60.294
26,62.814
27,65.249
28,67.657
29,70.083
30,72.41
31,74.813
32,77.201
33,79.545
34,81.911
35,84.237
36,86.545
37,88.928
38,91.172
39,93.513
40,95.808
41,98.02
42,100.213
43,102.495
44,104.781
45,106.923
46,109.168
47,111.432
48,113.64
49,115.887
50,118.081
51,120.314
52,122.629
53,124.8
54,126.979
55,129.251
56,131.419
57,133.618
58,135.848
59,138.01
60,140.241
61,142.435
62,144.617
