车辆数,仿真时间,持续时间,每秒耗时,每秒每车耗时
10.0,20.0,5.422,0.2711,0.022591666666666666
20.0,20.0,7.819,0.39095,0.017770454545454548
30.0,20.0,10.417,0.52085,0.0162765625
40.0,20.0,13.094,0.6547,0.015588095238095238
50.0,20.0,15.643,0.78215,0.015041346153846153
60.0,20.0,18.265,0.91325,0.01472983870967742
70.0,20.0,21.064,1.0532,0.014627777777777776
80.0,20.0,23.84,1.192,0.014536585365853658
90.0,23.0,30.021,1.3052608695652175,0.014187618147448016
100.0,27.0,38.531,1.427074074074074,0.013990922294843862
110.0,31.0,47.166,1.5214838709677418,0.013584677419354837
120.0,35.0,57.527,1.6436285714285714,0.013472365339578454
130.0,39.0,69.811,1.7900256410256412,0.013560800310800312
140.0,43.0,82.905,1.9280232558139536,0.013577628562070097
150.0,48.0,98.911,2.0606458333333335,0.013556880482456141
160.0,52.0,110.39,2.1228846153846153,0.013104226020892687
170.0,57.0,125.997,2.2104736842105264,0.012851591187270502
180.0,62.0,144.617,2.332532258064516,0.012816111308046791
190.0,67.0,163.678,2.442955223880597,0.01272372512437811
200.0,73.0,189.193,2.5916849315068493,0.012830123423301235
