仿真时间,持续时间
0,0
1,1.377
2,2.821
3,4.394
4,6.067
5,7.862
6,9.678
7,11.642
8,13.605
9,15.719
10,17.875
11,19.848
12,21.86
13,23.914
14,25.788
15,27.694
16,29.634
17,31.487
18,33.435
19,35.411
20,37.315
21,39.211
22,41.119
23,43.091
24,44.986
25,46.866
26,48.818
27,50.655
28,52.528
29,54.459
30,56.258
31,58.128
32,59.997
33,61.801
34,63.626
35,65.447
36,67.263
37,69.074
38,70.863
39,72.631
40,74.455
41,76.204
42,77.944
43,79.727
44,81.513
45,83.271
46,85.038
47,86.814
48,88.555
