车辆数,仿真时间,持续时间,每秒耗时,每秒每车耗时
10.0,20.0,5.102,0.2551,0.021258333333333334
20.0,20.0,6.663,0.33315,0.015143181818181818
30.0,20.0,9.176,0.4588,0.0143375
40.0,20.0,11.742,0.5871000000000001,0.01397857142857143
50.0,20.0,14.264,0.7132,0.013715384615384614
60.0,20.0,16.131,0.80655,0.013008870967741936
70.0,20.0,18.815,0.9407500000000001,0.013065972222222224
80.0,20.0,21.603,1.0801500000000002,0.013172560975609758
90.0,23.0,27.517,1.196391304347826,0.013004253308128544
100.0,27.0,35.116,1.3005925925925925,0.012750907770515614
110.0,31.0,43.369,1.399,0.01249107142857143
120.0,35.0,53.28,1.5222857142857142,0.01247775175644028
130.0,39.0,63.733,1.634179487179487,0.01238014763014763
140.0,43.0,75.017,1.7445813953488372,0.012285784474287586
150.0,48.0,88.555,1.8448958333333334,0.012137472587719298
160.0,52.0,101.735,1.9564423076923076,0.012076804368471035
170.0,57.0,117.379,2.059280701754386,0.011972562219502244
180.0,62.0,134.806,2.1742903225806454,0.01194665012406948
190.0,67.0,152.062,2.269582089552239,0.011820740049751246
200.0,73.0,174.74,2.3936986301369862,0.011849993218499931
