仿真时间,持续时间
0,0
1,2.558
2,4.448
3,6.396
4,8.528
5,10.673
6,12.9
7,15.228
8,17.601
9,19.919
10,22.204
11,24.383
12,26.465
13,28.596
14,30.749
15,32.945
16,35.119
17,37.271
18,39.426
19,41.625
20,43.816
21,45.976
22,48.027
23,50.062
24,52.147
25,54.269
26,56.328
27,58.378
28,60.443
29,62.521
30,64.593
31,66.669
32,68.754
33,70.833
34,72.893
35,74.902
36,76.902
37,78.909
38,80.923
39,82.93
40,84.949
41,86.97
42,88.941
43,90.898
44,92.851
45,94.774
46,96.705
47,98.651
48,100.619
49,102.538
50,104.46
51,106.374
52,108.277
53,110.18
54,112.088
55,114.009
56,115.939
57,117.888
58,119.892
59,121.944
60,124.042
61,126.148
62,128.247
63,130.346
64,132.437
65,134.525
66,136.597
67,138.669
68,140.788
69,142.928
70,145.066
71,147.163
72,149.255
73,151.348
74,153.477
75,155.613
76,157.745
77,159.878
78,161.994
79,164.135
80,166.288
81,168.45
82,170.595
83,172.709
84,174.797
85,176.892
86,178.995
87,181.093
88,183.195
89,185.267
90,187.36
91,189.454
92,191.548
93,193.627
94,195.683
95,197.754
96,199.878
97,201.976
98,204.065
99,206.149
100,208.224
101,210.315
102,212.401
103,214.476
104,216.55
105,218.63
106,220.734
107,222.817
108,224.913
109,227.028
110,229.14
111,231.247
112,233.349
113,235.431
114,237.473
115,239.509
116,241.536
117,243.596
118,245.671
119,247.756
120,249.796
121,251.799
122,253.796
123,255.823
124,257.837
125,259.796
126,261.752
127,263.71
128,265.658
129,267.609
130,269.559
131,271.507
132,273.484
133,275.453
134,277.426
135,279.395
136,281.349
137,283.304
138,285.25
139,287.194
140,289.136
141,291.065
142,293.002
143,294.935
144,296.936
145,298.857
146,300.784
147,302.695
148,304.615
149,306.528
150,308.436
151,310.342
152,312.247
153,314.154
154,316.046
155,317.946
156,319.84
157,321.744
158,323.645
159,325.546
160,327.452
161,329.347
162,331.241
163,333.146
164,335.048
165,336.937
166,338.822
167,340.725
168,342.629
169,344.529
170,346.419
171,348.302
172,350.197
173,352.091
174,353.988
175,355.873
176,357.768
177,359.653
178,361.538
179,363.43
180,365.335
181,367.223
182,369.108
183,370.994
184,372.962
185,374.908
186,376.844
187,378.787
188,380.719
189,382.657
190,384.603
191,386.541
192,388.47
193,390.401
194,392.34
195,394.267
196,396.194
197,398.083
198,399.97
199,401.863
200,403.75
201,405.646
202,407.55
203,409.44
204,411.325
205,413.226
206,415.116
207,417.009
208,418.909
209,420.802
210,422.692
211,424.571
212,426.45
213,428.34
214,430.23
215,432.124
216,434.005
217,435.889
218,437.782
219,439.697
220,441.611
221,443.541
222,445.415
223,447.302
224,449.188
225,451.077
226,452.96
227,454.847
228,456.736
229,458.623
230,460.507
231,462.39
232,464.271
233,466.152
234,468.037
235,469.93
236,471.819
237,473.753
238,475.703
239,477.623
240,479.549
241,481.473
242,483.404
243,485.339
244,487.279
245,489.202
246,491.137
247,493.062
248,494.993
249,496.934
250,498.832
251,500.718
252,502.605
253,504.495
254,506.382
255,508.271
256,510.156
257,512.035
258,513.919
259,515.804
260,517.711
261,519.647
262,521.584
263,523.521
264,525.454
265,527.346
266,529.273
267,531.2
268,533.163
269,535.082
270,536.997
271,538.912
272,540.808
273,542.717
274,544.626
275,546.55
276,548.48
277,550.423
278,552.378
279,554.333
280,556.234
281,558.12
282,560.005
283,561.883
284,563.764
285,565.657
286,567.545
287,569.438
288,571.329
289,573.291
290,575.223
291,577.158
292,579.089
293,581.033
294,582.969
295,584.902
296,586.823
297,588.752
298,590.682
299,592.62
300,594.551
301,596.474
302,598.374
303,600.266
304,602.163
305,604.07
306,605.973
307,607.899
308,609.795
309,611.694
310,613.587
311,615.482
312,617.366
313,619.248
314,621.14
315,623.03
316,624.92
317,626.793
318,628.672
319,630.61
320,632.506
321,634.404
322,636.287
323,638.178
324,640.104
325,642.039
326,643.968
327,645.872
328,647.776
329,649.714
330,651.648
331,653.554
332,655.444
333,657.326
334,659.21
335,661.105
336,662.992
337,664.885
338,666.784
339,668.672
340,670.56
341,672.518
342,674.453
343,676.388
344,678.332
345,680.268
346,682.216
347,684.162
348,686.103
349,688.073
350,690.062
351,692.039
352,693.979
353,695.933
354,697.922
355,699.824
356,701.707
357,703.591
358,705.485
359,707.372
360,709.268
361,711.17
362,713.065
363,714.957
364,716.845
365,718.741
366,720.628
367,722.524
368,724.422
369,726.313
370,728.199
371,730.085
372,731.969
373,733.848
374,735.731
375,737.614
376,739.514
377,741.394
378,743.292
379,745.187
380,747.084
381,748.995
382,750.888
383,752.779
384,754.671
385,756.55
386,758.438
387,760.314
388,762.201
389,764.082
390,765.98
391,767.872
392,769.755
393,771.641
394,773.627
395,775.564
396,777.509
397,779.451
398,781.381
399,783.315
400,785.264
401,787.206
402,789.145
403,791.073
404,793.003
405,794.94
406,796.869
407,798.753
408,800.649
409,802.536
410,804.421
411,806.335
412,808.254
413,810.133
414,812.02
415,813.918
416,815.803
417,817.679
418,819.562
