仿真时间,持续时间
0,0
1,1.254
2,2.293
3,3.342
4,4.384
5,5.485
6,6.65
7,7.919
8,9.221
9,10.521
10,11.769
11,12.921
12,14.016
13,15.135
14,16.282
15,17.461
16,18.621
17,19.797
18,20.952
19,22.048
20,23.16
21,24.268
22,25.347
23,26.421
24,27.496
25,28.575
26,29.645
27,30.712
28,31.777
29,32.841
30,33.898
31,34.952
32,36.002
33,37.055
34,38.107
35,39.161
36,40.21
37,41.26
38,42.313
39,43.368
40,44.433
41,45.486
42,46.541
43,47.605
44,48.677
45,49.753
46,50.831
47,51.907
48,52.983
49,54.037
50,55.075
51,56.119
52,57.175
53,58.233
54,59.279
55,60.328
56,61.4
57,62.471
58,63.587
59,64.72
60,65.888
61,67.102
62,68.337
63,69.56
64,70.786
65,71.941
66,73.125
67,74.327
68,75.555
69,76.8
70,78.037
71,79.277
72,80.5
73,81.68
74,82.883
75,84.106
76,85.351
77,86.593
78,87.844
79,89.098
80,90.284
81,91.457
82,92.628
83,93.8
84,94.977
85,96.148
86,97.324
87,98.496
88,99.665
89,100.818
90,101.981
91,103.157
92,104.33
93,105.498
94,106.666
95,107.829
96,108.988
97,110.151
98,111.289
99,112.42
100,113.56
101,114.7
102,115.842
103,116.989
104,118.12
105,119.247
106,120.378
107,121.505
108,122.62
109,123.748
110,124.855
111,125.962
112,127.065
113,128.158
114,129.248
115,130.333
116,131.41
117,132.482
118,133.556
119,134.628
120,135.697
121,136.759
122,137.818
123,138.865
124,139.91
125,140.949
126,141.98
127,143.015
128,144.051
129,145.093
130,146.143
131,147.195
132,148.242
133,149.29
134,150.355
135,151.398
136,152.445
137,153.488
138,154.53
139,155.577
140,156.615
141,157.653
142,158.691
143,159.736
144,160.762
145,161.793
146,162.838
147,163.889
148,164.936
149,166.005
150,167.043
151,168.075
152,169.112
153,170.147
154,171.184
155,172.229
156,173.255
157,174.279
158,175.294
159,176.317
160,177.334
161,178.363
162,179.388
163,180.401
164,181.452
165,182.472
166,184.253
167,186.406
168,188.548
169,190.631
170,192.712
171,194.816
172,196.862
173,198.905
174,200.946
175,203.095
176,205.105
177,207.188
178,209.428
179,211.521
180,213.564
181,215.613
182,217.597
183,219.608
184,221.62
185,223.65
186,225.646
187,227.651
188,229.632
189,231.62
190,233.6
191,235.567
192,237.546
193,239.52
194,241.483
195,243.462
196,245.437
197,247.408
198,249.375
199,251.345
200,253.311
201,255.34
202,257.32
203,259.285
204,261.281
205,263.3
206,265.317
207,267.289
208,269.265
209,271.238
210,273.205
211,275.172
212,277.191
213,279.226
214,281.242
215,283.33
216,285.396
217,287.427
218,289.473
219,291.51
220,293.571
221,295.61
222,297.659
223,299.714
224,301.774
225,303.83
226,305.878
227,307.936
228,309.971
229,312.024
230,314.084
231,316.09
232,318.136
233,320.187
234,322.229
235,324.284
236,326.322
237,328.356
238,330.403
239,332.448
240,334.491
241,336.535
242,338.584
243,340.634
244,342.715
245,344.748
246,346.788
247,348.822
248,350.894
249,352.958
250,355.004
251,357.036
252,359.07
253,361.106
254,363.156
255,365.197
256,367.218
257,369.25
258,371.291
259,373.325
260,375.362
261,377.368
262,379.384
263,381.412
264,383.459
265,385.496
266,387.535
267,389.578
268,391.612
269,393.65
270,395.682
271,397.714
272,399.758
273,401.789
274,403.817
275,405.855
276,407.878
277,409.895
278,411.914
279,413.946
280,415.977
281,418.015
282,420.051
283,422.098
284,424.131
285,426.158
286,428.189
287,430.215
288,432.24
289,434.266
290,436.271
291,438.288
292,440.291
293,442.305
294,444.352
295,446.374
296,448.387
297,450.4
298,452.412
299,454.421
300,456.447
301,458.451
302,460.473
303,462.497
304,464.54
305,466.558
306,468.59
307,470.619
308,472.673
309,474.708
310,476.717
311,478.742
312,480.761
313,482.82
314,484.859
315,486.885
316,488.886
317,490.91
318,492.95
319,495.022
320,497.045
321,499.073
322,501.093
323,503.108
324,505.119
325,507.139
326,509.17
327,511.195
328,513.224
329,515.29
330,517.321
331,519.351
332,521.389
333,523.432
334,525.494
335,527.537
336,529.585
337,531.619
338,533.654
339,535.691
340,537.742
341,539.733
342,541.76
343,543.799
344,545.816
345,547.823
346,549.854
347,551.887
348,553.858
349,555.809
350,557.836
351,559.8
352,561.374
353,562.357
354,563.338
355,564.32
356,565.29
357,566.482
358,568.673
359,570.894
360,572.973
361,575.096
362,577.147
363,579.241
364,581.358
365,583.497
366,585.609
367,587.699
368,589.77
369,591.859
370,593.97
371,596.044
372,598.103
373,600.142
374,602.203
375,604.271
376,606.292
377,608.335
378,610.375
379,612.424
380,614.482
381,616.53
382,618.565
383,620.62
384,622.671
385,624.729
386,626.78
387,628.816
388,630.875
389,632.928
390,635.008
391,637.042
392,639.067
393,641.085
394,643.109
395,645.166
396,647.208
397,649.242
398,651.308
399,653.348
400,655.402
401,657.443
402,659.492
403,661.543
404,663.609
405,665.654
406,667.67
407,669.693
408,671.73
409,673.785
410,675.834
411,677.879
412,679.911
413,681.972
414,684.029
415,686.071
416,688.124
417,690.175
418,692.231
419,694.277
420,696.326
421,698.381
422,700.439
423,702.486
424,704.539
425,706.589
426,708.622
427,710.674
428,712.733
429,714.786
430,716.827
431,718.89
432,720.966
433,723.018
434,725.067
435,727.091
436,729.143
437,731.187
438,733.229
439,735.275
440,737.325
441,739.327
442,741.319
443,743.318
444,745.326
445,747.336
446,749.401
447,751.38
448,753.381
449,755.385
450,757.428
451,759.488
452,761.537
453,763.589
454,765.628
455,767.678
456,769.748
457,771.824
458,773.89
459,776.645
460,778.674
461,780.675
462,782.709
463,784.722
464,786.732
465,788.716
466,790.709
467,792.703
468,794.711
469,796.69
470,798.694
471,800.701
472,802.713
473,804.722
474,806.717
475,808.717
476,810.702
477,812.695
478,814.695
479,816.692
480,818.687
481,820.675
482,822.686
483,824.688
484,826.689
485,828.673
486,830.602
487,832.598
488,834.584
489,836.623
490,837.721
491,838.698
492,839.68
493,840.675
494,841.665
495,842.658
496,843.655
497,844.65
498,845.821
499,848.073
500,850.29
501,852.516
502,854.769
503,856.989
504,859.235
505,861.478
506,863.711
507,865.94
508,868.18
509,870.41
510,872.635
511,874.891
512,877.126
513,879.335
514,881.565
515,883.997
516,886.205
517,888.361
518,890.629
519,892.857
520,895.1
521,897.374
522,899.601
523,901.827
524,904.055
525,906.357
526,908.558
527,910.764
528,913.021
529,915.221
530,917.442
531,919.648
532,921.843
533,924.024
534,926.219
535,928.441
536,930.672
537,932.867
538,935.153
539,937.334
540,939.543
541,941.74
542,943.964
543,946.214
544,948.42
545,950.737
546,953.232
547,955.441
548,957.667
549,959.884
550,962.125
551,964.357
552,966.649
553,968.874
554,971.094
555,973.315
556,975.568
557,977.84
558,980.118
559,982.37
560,984.574
561,986.786
562,989.02
563,991.258
564,993.502
565,995.717
566,997.932
567,1000.166
568,1002.438
569,1004.695
570,1006.958
571,1009.192
572,1011.443
573,1013.715
574,1015.963
575,1018.232
576,1020.493
577,1022.781
578,1025.087
579,1027.564
580,1030.076
581,1032.682
582,1035.324
583,1038.028
584,1040.778
585,1043.525
586,1046.24
587,1049.019
588,1051.714
589,1054.446
590,1057.214
591,1059.97
592,1062.644
593,1065.188
594,1067.766
595,1070.369
596,1073.022
597,1075.727
598,1078.373
599,1081
600,1083.671
601,1086.31
602,1089.056
603,1091.692
604,1094.374
605,1097.073
606,1099.847
607,1102.537
608,1105.226
609,1107.847
610,1110.529
611,1113.169
612,1115.837
613,1118.557
614,1121.241
615,1123.886
616,1126.511
617,1129.159
618,1131.791
619,1134.495
620,1137.134
621,1139.739
622,1142.35
623,1144.972
624,1147.688
625,1150.323
626,1152.971
627,1155.585
628,1158.232
629,1160.821
630,1163.409
631,1166.034
632,1168.657
633,1171.288
634,1173.867
635,1176.467
636,1179.07
637,1181.702
638,1184.396
639,1187.112
640,1189.802
641,1192.492
642,1195.185
643,1197.867
644,1200.593
645,1204.637
646,1207.323
647,1210.119
648,1212.775
649,1215.495
650,1218.167
651,1220.864
652,1223.553
653,1226.229
654,1228.925
655,1231.606
656,1234.301
657,1236.991
658,1239.677
659,1242.355
660,1245.087
661,1247.761
662,1250.482
663,1253.193
664,1255.869
665,1258.58
666,1261.236
667,1263.929
668,1266.625
669,1269.397
670,1272.108
671,1274.776
672,1277.489
673,1280.216
674,1282.956
675,1285.675
676,1288.343
677,1291.006
678,1293.727
679,1296.424
680,1299.139
681,1301.867
682,1304.545
683,1307.254
684,1309.907
685,1312.566
686,1315.254
687,1317.895
688,1320.552
689,1323.269
690,1325.967
691,1328.739
692,1331.416
693,1334.114
694,1336.849
695,1339.532
696,1342.218
697,1344.881
698,1347.573
699,1350.261
700,1352.949
701,1355.645
702,1358.406
703,1361.09
704,1363.797
705,1366.465
706,1369.142
707,1371.842
708,1374.568
709,1377.273
710,1379.989
711,1382.757
712,1385.53
713,1388.261
714,1391.075
715,1393.791
716,1396.463
717,1399.156
718,1401.837
719,1404.522
720,1407.208
721,1409.841
722,1412.504
723,1415.222
724,1417.875
725,1420.573
726,1423.303
727,1426.014
728,1428.715
729,1431.398
730,1434.086
731,1436.775
732,1439.476
733,1442.175
734,1444.847
735,1447.525
736,1450.329
737,1453.022
738,1455.732
739,1458.367
740,1461.043
741,1463.778
742,1466.529
743,1469.398
744,1472.13
745,1474.912
746,1477.717
747,1480.414
748,1483.222
749,1485.92
750,1488.606
751,1491.322
752,1494.026
753,1496.747
754,1499.499
755,1502.201
756,1504.923
757,1507.625
758,1510.436
759,1513.194
760,1515.873
761,1518.56
762,1521.25
763,1523.891
764,1526.573
765,1529.257
766,1532.012
767,1534.819
768,1537.501
769,1540.183
770,1542.887
771,1545.566
772,1548.297
773,1550.968
774,1553.574
775,1556.249
776,1558.872
777,1561.526
778,1564.453
779,1567.089
780,1569.766
781,1572.431
782,1575.088
783,1577.804
784,1580.485
785,1583.22
786,1585.9
787,1588.595
788,1591.267
789,1593.961
790,1596.802
791,1599.541
792,1602.271
793,1605.018
794,1607.731
