仿真时间,持续时间
0,0
1,4.801
2,10.253
3,16.144
4,22.36
5,29.327
6,36.751
7,44.437
8,52.448
9,60.337
10,67.975
11,74.814
12,81.744
13,88.424
14,95.325
15,102.149
16,109.241
17,116.145
18,123.115
19,129.858
20,136.826
21,143.751
22,150.327
23,157.026
24,163.632
25,170.097
26,176.589
27,183.098
28,189.574
29,195.861
30,202.209
31,208.643
32,214.846
33,221.446
34,228.022
35,234.371
36,240.27
37,246.32
38,252.37
39,258.414
40,264.61
41,271.035
42,277.057
43,283.123
44,289.24
45,295.532
46,301.657
47,307.773
48,313.746
49,319.619
50,326.123
51,332.173
52,338.007
53,344.212
54,350.401
55,356.283
56,362.16
57,368.644
58,375.631
59,382.526
60,389.535
61,396.46
62,403.83
63,411.054
64,418.37
65,425.869
66,433.304
67,440.673
68,448.157
69,455.236
70,462.349
71,469.87
72,477.262
73,484.457
74,492.198
75,499.732
76,507.6
77,515.623
78,523.301
79,530.847
80,538.498
81,546.017
82,553.29
83,561.25
84,568.546
85,575.79
86,583.277
87,590.664
88,598.291
89,605.623
90,612.915
91,620.465
92,628.02
93,635.373
94,642.723
95,650.458
96,657.61
97,664.989
98,672.222
99,679.315
100,686.7
101,693.872
102,701.31
103,708.628
104,716.067
105,723.16
106,730.564
107,737.647
108,745.031
109,752.085
110,759.235
111,766.476
112,773.71
113,781.183
114,788.268
115,795.331
116,802.467
117,809.621
118,816.358
119,823.085
120,829.889
121,836.601
122,843.082
123,849.638
124,856.251
125,862.699
126,869.11
127,875.339
128,881.562
129,887.817
130,894.073
131,900.657
132,907.018
133,913.062
134,919.177
135,925.611
136,931.846
137,937.999
138,944.275
139,950.356
140,956.561
141,962.506
142,968.681
143,974.81
144,980.62
145,986.441
146,992.247
147,998.218
148,1003.987
149,1009.866
150,1015.667
151,1021.528
152,1027.609
153,1033.504
154,1039.54
155,1045.305
156,1051.267
157,1057.209
158,1062.797
159,1069.011
160,1075.127
161,1080.976
162,1086.634
163,1092.477
164,1098.32
165,1104.157
166,1110.186
167,1115.874
168,1121.539
169,1127.461
170,1133.065
171,1138.713
172,1144.593
173,1150.457
174,1156.06
175,1161.793
176,1167.354
177,1173.129
178,1179.031
179,1184.853
180,1190.765
181,1196.573
182,1202.553
183,1208.213
184,1214.03
185,1219.972
186,1225.697
187,1231.433
188,1237.429
189,1243.507
190,1249.305
191,1254.97
192,1260.787
193,1266.524
194,1272.183
195,1277.913
196,1283.77
197,1289.418
198,1295.435
199,1301.387
200,1307.42
201,1313.255
202,1319.094
203,1324.507
204,1330.593
205,1336.705
206,1342.012
207,1347.528
208,1353.225
209,1358.941
210,1364.488
211,1370.136
212,1375.734
213,1381.169
214,1386.651
215,1392.264
216,1397.969
217,1403.869
218,1409.671
219,1415.406
220,1421.074
221,1426.64
222,1432.521
223,1438.431
224,1444.151
225,1449.848
226,1455.735
227,1461.539
228,1467.344
229,1472.681
230,1478.49
231,1484.069
232,1489.655
233,1495.596
234,1501.384
235,1507.11
236,1513.45
237,1519.3
238,1524.87
239,1530.461
240,1536.408
241,1541.902
242,1547.707
243,1553.476
244,1559.33
245,1565.116
246,1570.804
247,1576.443
248,1582.059
249,1587.382
250,1593.296
251,1599.096
252,1604.933
253,1610.631
254,1616.257
255,1621.653
256,1627.346
257,1633.096
258,1638.899
259,1644.467
260,1650.019
261,1655.892
262,1661.356
263,1667.112
264,1672.754
265,1678.541
266,1684.212
267,1689.981
268,1695.672
269,1701.318
270,1706.763
271,1712.514
272,1718.466
273,1724.165
274,1729.804
275,1735.382
276,1741.306
277,1747.042
278,1752.834
279,1758.548
280,1764.326
281,1769.811
282,1775.812
283,1781.663
284,1787.421
285,1793.119
286,1798.85
287,1804.557
288,1810.494
289,1816.627
290,1822.629
291,1828.744
292,1835.12
293,1841.282
294,1847.112
295,1852.863
296,1858.368
297,1864.413
298,1869.969
299,1875.757
300,1881.464
301,1887
302,1892.592
303,1898.307
304,1904.191
305,1910.126
306,1916.021
307,1921.624
308,1927.377
309,1933.148
310,1938.688
311,1944.355
312,1950.018
313,1955.813
314,1961.76
315,1967.7
316,1973.443
317,1979.121
318,1984.691
319,1990.192
320,1996.046
321,2001.788
322,2007.376
323,2013.251
324,2018.651
325,2024.152
326,2030.293
327,2035.827
328,2041.601
329,2047.303
330,2052.899
331,2058.641
332,2064.242
333,2069.892
334,2075.537
335,2081.095
336,2086.692
337,2092.49
338,2098.24
339,2104.055
340,2109.8
341,2115.294
342,2121.031
343,2126.718
344,2132.396
345,2138.267
346,2144.145
347,2149.92
348,2155.659
349,2161.691
350,2167.494
351,2173.304
352,2179.443
353,2184.855
354,2190.727
355,2196.608
356,2202.671
357,2208.58
358,2214.023
359,2219.839
360,2225.689
361,2231.708
362,2237.289
363,2243.1
364,2248.611
365,2254.197
366,2259.872
367,2265.582
368,2271.443
369,2277.23
370,2282.681
371,2288.628
372,2294.578
373,2300.284
374,2306.117
375,2311.993
376,2317.697
377,2323.633
378,2329.451
379,2335.053
380,2340.989
381,2346.536
382,2352.389
383,2357.936
384,2363.779
385,2369.577
386,2375.351
387,2380.961
388,2386.823
389,2392.518
390,2398.328
391,2404.013
392,2409.79
393,2415.769
394,2421.403
395,2427.045
396,2433.005
397,2438.84
398,2444.713
399,2450.2
400,2456.002
401,2461.761
402,2467.827
403,2473.329
404,2479.225
405,2484.8
406,2490.503
407,2495.929
408,2501.353
409,2507.033
410,2512.904
411,2519.049
412,2524.886
413,2530.814
414,2536.681
415,2542.471
416,2548.317
417,2554.02
418,2559.808
419,2565.521
420,2571.175
421,2576.945
422,2582.577
423,2588.085
424,2593.625
425,2599.471
426,2605.261
427,2610.868
428,2616.376
429,2621.947
430,2627.456
431,2633.296
432,2639.018
433,2644.722
434,2650.369
435,2656.197
436,2661.968
437,2667.866
438,2673.318
439,2678.904
440,2684.86
441,2690.789
442,2696.608
443,2702.351
444,2708.036
445,2713.637
446,2719.545
447,2725.223
448,2731.269
449,2736.965
450,2742.85
451,2748.408
452,2754.188
453,2760.085
454,2766.067
455,2771.684
456,2777.642
457,2783.636
458,2788.995
459,2794.631
460,2800.48
461,2806.11
462,2811.976
463,2817.789
464,2823.657
465,2829.564
466,2835.189
467,2841.02
468,2846.574
469,2852.114
470,2857.925
471,2863.528
472,2869.07
473,2874.83
474,2880.616
475,2886.288
476,2891.951
477,2897.509
478,2903.066
479,2909.117
480,2915.164
481,2920.882
482,2926.768
483,2932.701
484,2938.388
485,2944.177
486,2949.802
487,2955.454
488,2961.239
489,2966.792
490,2972.529
491,2978.113
492,2983.706
493,2989.435
494,2995.003
495,3000.761
496,3006.306
497,3011.734
498,3017.024
499,3022.521
500,3028.306
501,3033.753
502,3039.675
503,3045.423
504,3051.402
505,3056.964
506,3062.912
507,3068.346
508,3073.834
509,3079.55
510,3085.345
511,3091.446
512,3097.189
513,3102.867
514,3108.718
515,3114.224
516,3120.082
517,3125.812
518,3131.419
519,3137.002
520,3142.799
521,3148.529
522,3154.168
523,3159.879
524,3165.653
525,3171.339
526,3177.235
527,3183.142
528,3188.604
529,3194.42
530,3200.053
531,3205.783
532,3211.266
533,3216.778
534,3222.417
535,3228.139
536,3233.777
537,3239.445
538,3245.099
539,3250.63
540,3256.443
541,3262.249
542,3268.111
543,3273.655
544,3279.255
545,3285.184
546,3291.004
547,3296.555
548,3302.449
549,3308.257
550,3314.057
551,3319.667
552,3325.303
553,3331.034
554,3336.522
555,3342.191
556,3347.715
557,3353.579
558,3359.183
559,3364.773
560,3370.609
561,3376.372
562,3381.905
563,3387.615
564,3393.422
565,3399.007
566,3404.639
567,3410.665
568,3416.466
569,3422.013
570,3427.679
571,3433.357
572,3438.843
573,3444.573
574,3450.266
575,3455.867
576,3461.874
577,3467.419
578,3473.346
579,3479.64
580,3485.917
581,3492.708
582,3499.859
583,3507.552
584,3515.104
585,3522.827
586,3530.542
587,3538.427
588,3546.116
589,3553.851
590,3561.209
591,3568.836
592,3576.251
593,3583.608
594,3590.9
595,3598.43
596,3606.23
597,3613.664
598,3621
599,3628.632
600,3636.019
601,3643.645
602,3651.298
603,3659.322
604,3666.96
605,3674.428
606,3681.879
607,3689.597
608,3696.969
609,3704.651
610,3712.551
611,3719.907
612,3727.281
613,3734.783
614,3742.438
615,3750.055
616,3757.632
617,3764.959
618,3772.197
619,3779.547
620,3786.925
621,3794.328
622,3801.815
623,3809.392
624,3817.115
625,3824.539
626,3832.001
627,3839.672
628,3847.328
629,3854.574
630,3862.211
631,3869.622
632,3877.059
633,3884.649
634,3892.24
635,3899.583
636,3907.173
637,3914.588
638,3922.183
639,3929.682
640,3937.467
641,3944.696
642,3952.241
643,3959.481
644,3967.036
645,3974.606
646,3981.626
647,3989.174
648,3996.917
649,4004.454
650,4012.452
651,4019.89
652,4027.444
653,4035.173
654,4043.024
655,4050.481
656,4057.47
657,4064.823
658,4072.242
659,4079.37
660,4086.6
661,4093.929
662,4101.625
663,4109.323
664,4116.799
665,4124.345
666,4131.568
667,4138.923
668,4146.347
669,4153.827
670,4161.269
671,4168.653
672,4176.051
673,4183.45
674,4190.753
675,4198.47
676,4205.867
677,4213.438
678,4221.025
679,4228.489
680,4235.938
681,4243.248
682,4250.774
683,4258.047
684,4265.537
685,4272.925
686,4280.246
687,4287.897
688,4295.431
689,4302.864
690,4310.505
691,4318.04
692,4325.762
693,4333.049
694,4340.538
695,4347.907
696,4355.222
697,4362.909
698,4370.422
699,4378.356
700,4385.874
701,4393.388
702,4400.959
703,4408.428
704,4415.913
705,4423.257
706,4430.821
707,4438.144
708,4445.885
709,4453.409
710,4460.917
711,4468.307
712,4475.753
713,4483.083
714,4490.66
715,4498.193
716,4505.662
717,4513.356
718,4520.761
719,4528.106
720,4535.464
721,4543.001
722,4550.657
723,4558.018
724,4565.216
725,4572.795
726,4580.014
727,4587.568
728,4595.142
729,4602.466
730,4609.875
731,4617.76
732,4625.513
733,4632.996
734,4640.577
735,4648.064
736,4655.179
737,4662.554
738,4670.31
739,4677.732
740,4685.224
741,4693.003
742,4700.461
743,4707.925
744,4715.65
745,4723.065
746,4730.661
747,4737.924
748,4745.303
749,4752.672
750,4760.238
751,4767.685
752,4775.166
753,4782.285
754,4789.594
755,4797.654
756,4804.75
757,4812.122
758,4819.342
759,4826.576
760,4833.759
761,4841.289
762,4848.866
763,4856.441
764,4864.144
765,4871.428
766,4879.449
767,4886.812
768,4894.377
769,4901.556
770,4908.896
771,4916.677
772,4924.105
773,4931.617
774,4939.178
775,4947.366
776,4954.539
777,4962.035
778,4969.81
779,4977.53
780,4984.906
781,4992.545
782,4999.807
783,5007.411
784,5014.803
785,5022.318
786,5029.867
787,5037.207
788,5044.842
789,5052.873
790,5060.221
791,5068.031
792,5075.652
793,5082.872
794,5090.521
795,5098.1
796,5105.857
797,5113.592
798,5121.037
799,5128.557
800,5136.264
