仿真时间,持续时间
0,0
1,2.063
2,4.203
3,6.589
4,9.357
5,12.26
6,15.41
7,20.047
8,27.134
9,33.975
10,40.466
11,46.73
12,52.616
13,58.552
14,64.395
15,70.678
16,76.844
17,83.109
18,89.367
19,95.521
20,101.723
21,107.952
22,114.2
23,120.391
24,126.497
25,132.682
26,138.674
27,144.498
28,150.38
29,156.004
30,161.597
31,167.315
32,172.903
33,178.493
34,183.872
35,189.353
36,194.794
37,200.274
38,205.818
39,211.293
40,216.788
41,222.28
42,227.706
43,232.944
44,238.081
45,243.196
46,248.453
47,253.625
48,258.861
49,263.998
50,269.101
51,274.037
52,278.996
53,283.921
54,288.783
55,293.697
56,298.666
57,303.951
58,309.629
59,315.612
60,321.56
61,327.56
62,333.68
63,339.872
64,346.026
65,352.282
66,358.425
67,364.711
68,370.92
69,377.201
70,383.525
71,389.741
72,395.865
73,402.006
74,408.016
75,414.063
76,420.155
77,426.279
78,432.494
79,438.691
80,444.774
81,450.797
82,456.844
83,462.962
84,469.044
85,475.125
86,481.399
87,487.784
88,494.051
89,500.248
90,506.577
91,512.759
92,518.995
93,525.149
94,531.234
95,537.286
96,543.266
97,549.409
98,555.497
99,561.533
100,567.617
101,573.609
102,579.668
103,585.743
104,591.816
105,597.763
106,603.893
107,610.049
108,616.173
109,622.305
110,628.346
111,634.126
112,639.923
113,645.758
114,651.541
115,657.278
116,662.955
117,668.629
118,674.211
119,679.802
120,685.291
121,690.739
122,696.207
123,701.588
124,706.878
125,712.149
126,717.316
127,722.597
128,727.801
129,733.034
130,738.215
131,743.413
132,748.609
133,753.684
134,758.716
135,763.794
136,768.804
137,773.862
138,778.829
139,783.742
140,788.698
141,793.61
142,798.493
143,803.374
144,808.22
145,813.098
146,817.857
147,822.614
148,827.465
149,832.199
150,836.918
151,841.803
152,846.711
153,851.636
154,856.578
155,861.465
156,866.367
157,871.189
158,875.954
159,880.752
160,885.421
161,890.107
162,894.831
163,899.542
164,904.278
165,909.114
166,913.912
167,918.647
168,923.457
169,928.182
170,932.851
171,937.635
172,942.422
173,947.089
174,951.809
175,956.562
176,961.334
177,966.095
178,970.785
179,975.511
180,980.224
181,984.922
182,989.677
183,994.328
184,998.981
185,1003.657
186,1008.293
187,1012.931
188,1017.601
189,1022.291
190,1026.85
191,1031.455
192,1036.107
193,1040.72
194,1045.335
195,1049.903
196,1054.511
197,1059.197
198,1063.797
199,1068.355
200,1072.945
201,1077.517
202,1082.204
203,1086.881
204,1091.582
205,1096.374
206,1101.086
207,1105.828
208,1110.538
209,1115.169
210,1119.88
211,1124.531
212,1129.265
213,1133.927
214,1138.7
215,1143.29
216,1147.927
217,1152.598
