仿真时间,持续时间
0,0
1,1.476
2,2.472
3,3.449
4,4.483
5,5.579
6,6.734
7,8.004
8,9.303
9,10.58
10,11.792
11,12.905
12,13.977
13,15.051
14,16.133
15,17.249
16,18.328
17,19.435
18,20.547
19,21.632
20,22.733
21,23.792
22,24.806
23,25.824
24,26.853
25,27.866
26,28.861
27,29.878
28,30.907
29,31.935
30,32.979
31,34.008
32,35.055
33,36.105
34,37.097
35,38.015
36,38.952
37,39.898
38,40.894
39,41.86
40,42.814
41,43.786
42,44.696
43,45.598
44,46.502
45,47.4
46,48.29
47,49.18
48,50.109
49,51.01
50,51.916
51,52.803
52,53.694
53,54.604
54,55.489
55,56.381
56,57.286
57,58.187
58,59.101
59,60.041
60,61.011
61,61.985
62,63.017
63,64.018
64,65.018
65,66.012
66,67.009
67,68.02
68,69.045
69,70.053
70,71.086
71,72.062
72,73.031
73,73.938
74,74.796
75,75.643
76,76.494
77,77.325
78,78.171
79,79.005
80,79.837
81,80.674
82,81.513
83,82.35
84,83.2
85,84.067
86,84.934
87,85.806
88,86.736
89,87.656
90,88.583
91,89.507
92,90.432
93,91.34
94,92.221
95,93.12
96,94.032
97,94.942
98,95.853
99,96.771
100,97.684
101,98.608
102,99.535
103,100.442
104,101.35
105,102.257
106,103.165
107,104.068
108,104.98
109,105.901
110,106.82
111,107.737
112,108.657
113,109.566
114,110.478
115,111.403
116,112.349
117,113.291
118,114.23
119,115.173
120,116.111
121,117.049
122,117.977
123,118.896
124,119.819
125,120.731
126,121.642
127,122.576
128,123.486
129,124.396
130,125.303
131,126.208
132,127.116
133,128.008
134,128.905
135,129.803
136,130.699
137,131.581
138,132.442
139,133.311
140,134.167
141,135.031
142,135.91
143,136.794
144,137.681
145,138.56
146,139.448
147,140.328
148,141.207
149,142.086
150,142.965
151,143.841
152,144.721
153,145.598
154,146.467
155,147.342
156,148.211
157,149.08
158,149.95
159,150.818
160,151.689
161,152.534
162,153.376
163,154.218
164,155.06
165,155.908
166,156.752
167,157.599
168,158.434
169,159.276
170,160.107
171,160.945
172,161.779
173,162.614
174,163.448
175,164.287
176,165.121
177,165.956
178,166.79
179,167.625
180,168.46
181,169.3
182,170.136
183,170.976
184,171.811
185,172.658
186,173.501
187,174.335
188,175.169
189,176.005
190,176.842
191,177.68
192,178.515
193,179.352
194,180.188
195,181.024
196,181.859
197,182.697
198,183.535
199,184.372
200,185.208
201,186.044
202,186.875
203,187.711
204,188.546
205,189.355
206,190.162
207,190.974
208,191.781
209,192.592
210,193.398
211,194.205
212,195.013
213,195.822
214,196.633
215,197.441
216,198.251
217,199.06
218,199.869
219,200.681
220,201.488
221,202.295
222,203.106
223,203.916
224,204.724
225,205.534
226,206.34
227,207.149
228,207.963
229,208.796
230,209.628
231,210.46
232,211.292
233,212.126
234,212.956
235,213.788
236,214.621
237,215.453
238,216.284
239,217.115
240,217.949
241,218.781
242,219.615
243,220.446
244,221.278
245,222.114
246,222.948
247,223.784
248,224.62
249,225.456
250,226.292
251,227.127
252,227.958
253,228.795
254,229.628
255,230.464
256,231.297
257,232.129
258,232.959
259,233.796
260,234.629
261,235.465
262,236.297
263,237.132
264,237.965
265,238.803
266,239.637
267,240.47
268,241.301
269,242.138
270,242.969
271,243.807
272,244.642
273,245.476
274,246.307
275,247.14
276,247.976
277,248.808
278,249.641
279,250.471
280,251.307
281,252.137
282,252.969
283,253.802
284,254.635
285,255.475
286,256.304
287,257.136
288,257.97
289,258.804
290,259.638
291,260.473
292,261.302
293,262.135
294,262.965
295,263.799
296,264.635
297,265.47
298,266.298
299,267.128
300,267.961
301,268.794
302,269.627
303,270.457
304,271.29
305,272.118
306,272.95
307,273.778
308,274.611
309,275.443
310,276.272
311,277.103
312,277.937
313,278.771
314,279.601
315,280.437
316,281.267
317,282.1
318,282.929
319,283.758
320,284.59
321,285.418
322,286.244
323,287.074
324,287.948
325,288.751
