仿真时间,持续时间
0,0
1,0.653
2,1.468
3,1.999
4,2.557
5,3.15
6,3.702
7,4.294
8,4.9
9,5.504
10,6.151
11,6.682
12,7.23
13,7.77
14,8.328
15,8.93
16,9.499
17,10.088
18,10.64
19,11.164
20,11.686
21,12.209
22,12.716
23,13.234
24,13.737
25,14.224
26,14.726
27,15.212
28,15.698
29,16.182
30,16.669
31,17.151
32,17.622
33,18.103
34,18.59
35,19.088
36,19.56
37,20.037
38,20.532
39,20.998
40,21.475
41,21.948
42,22.432
43,22.917
44,23.426
45,23.933
46,24.458
47,24.96
48,25.471
49,25.972
50,26.458
51,26.961
52,27.456
53,27.979
54,28.482
55,29.01
56,29.508
57,30.013
58,30.51
59,31.066
60,31.651
61,32.236
62,32.83
63,33.436
64,34.01
65,34.545
66,35.109
67,35.681
68,36.28
69,36.877
70,37.465
71,38.072
72,38.605
73,39.16
74,39.729
75,40.322
76,40.908
77,41.497
78,42.11
79,42.665
80,43.179
81,43.679
82,44.191
83,44.695
84,45.222
85,45.744
86,46.256
87,46.78
88,47.294
89,47.81
90,48.317
91,48.833
92,49.354
93,49.858
94,50.371
95,50.882
96,51.396
97,51.919
98,52.427
99,52.93
100,53.451
101,53.96
102,54.485
103,54.997
104,55.511
105,56.021
106,56.518
107,57.019
108,57.526
109,58.025
110,58.53
111,59.03
112,59.529
113,60.033
114,60.533
115,61.039
116,61.558
117,62.089
118,62.625
119,63.171
120,63.715
121,64.256
122,64.792
123,65.278
124,65.776
125,66.284
126,66.803
127,67.329
128,67.847
129,68.356
130,68.824
131,69.298
132,69.771
133,70.232
134,70.695
135,71.16
136,71.626
137,72.092
138,72.557
139,73.02
140,73.487
141,73.955
142,74.418
143,74.877
144,75.341
145,75.801
146,76.259
147,76.714
148,77.165
149,77.616
150,78.068
151,78.519
152,78.967
153,79.417
154,79.864
155,80.314
156,80.758
157,81.205
158,81.651
159,82.098
160,82.546
161,82.993
162,83.44
163,83.883
164,84.35
165,84.789
166,85.234
167,85.676
168,86.12
169,86.563
170,87.003
171,87.446
172,87.888
173,88.331
174,88.774
175,89.225
176,89.676
177,90.118
178,90.559
179,91.001
180,91.446
181,91.883
182,92.324
183,92.758
184,93.207
185,93.652
186,94.091
187,94.528
188,94.963
189,95.403
190,95.841
191,96.282
192,96.722
193,97.161
194,97.6
195,98.041
196,98.479
197,98.924
198,99.36
199,99.799
200,100.235
201,100.678
202,101.116
203,101.555
204,101.997
205,102.435
206,102.875
207,103.319
208,103.76
209,104.199
210,104.641
211,105.085
212,105.525
213,105.971
214,106.41
215,106.852
216,107.294
217,107.734
218,108.177
219,108.616
220,109.058
221,109.497
222,109.941
223,110.385
224,110.827
225,111.267
226,111.705
227,112.146
228,112.584
229,113.022
230,113.464
231,113.907
232,114.343
233,114.784
234,115.235
235,115.686
236,116.127
237,116.574
238,117.013
239,117.456
240,117.897
241,118.338
242,118.783
243,119.225
244,119.669
245,120.106
246,120.551
247,121.002
248,121.45
249,121.895
250,122.339
251,122.782
252,123.224
253,123.665
254,124.11
255,124.55
256,124.993
257,125.437
258,125.873
259,126.316
260,126.755
261,127.193
262,127.639
263,128.079
264,128.525
265,128.969
266,129.408
267,129.847
268,130.285
269,130.73
270,131.169
271,131.612
272,132.055
273,132.496
274,132.94
275,133.377
276,133.824
277,134.264
278,134.705
279,135.149
280,135.59
281,136.029
282,136.47
283,136.912
284,137.352
285,137.796
286,138.235
287,138.678
288,139.117
289,139.557
290,139.998
291,140.436
292,140.878
293,141.315
294,141.755
295,142.197
296,142.639
297,143.082
298,143.524
299,143.968
300,144.408
301,144.847
302,145.293
303,145.735
304,146.18
305,146.624
306,147.069
307,147.51
308,147.954
309,148.398
310,148.843
311,149.288
312,149.738
313,150.183
314,150.623
315,151.071
316,151.513
317,151.957
318,152.395
319,152.839
320,153.295
321,153.735
322,154.176
323,154.615
324,155.059
325,155.499
326,155.942
327,156.379
328,156.822
329,157.263
330,157.704
331,158.142
332,158.584
333,159.024
334,159.466
335,159.907
336,160.346
337,160.789
338,161.231
339,161.668
340,162.11
341,162.549
342,162.996
343,163.438
344,163.877
345,164.319
346,164.756
347,165.199
348,165.637
349,166.077
350,166.517
351,166.96
352,167.401
353,167.838
354,168.282
355,168.72
356,169.161
357,169.604
358,170.047
359,170.485
360,170.923
361,171.362
362,171.802
363,172.241
364,172.679
365,173.124
366,173.566
367,174.01
368,174.452
369,174.893
370,175.345
371,175.785
372,176.23
373,176.675
374,177.121
375,177.561
376,178.003
377,178.449
378,178.889
379,179.333
380,179.776
381,180.219
382,180.661
383,181.105
384,181.547
385,181.989
386,182.436
387,182.88
388,183.321
389,183.761
390,184.202
391,184.644
392,185.086
393,185.527
394,185.965
395,186.405
396,186.848
397,187.291
398,187.729
399,188.171
400,188.611
401,189.05
402,189.493
403,189.933
404,190.376
405,190.817
406,191.257
407,191.695
408,192.141
409,192.582
410,193.021
411,193.46
412,193.901
413,194.351
414,194.789
415,195.233
416,195.674
417,196.116
418,196.56
419,197.003
420,197.447
421,197.888
422,198.329
423,198.771
424,199.216
425,199.654
426,200.092
427,200.533
428,200.971
429,201.413
430,201.85
431,202.291
432,202.733
433,203.174
434,203.614
435,204.056
436,204.497
437,204.937
438,205.377
439,205.813
440,206.256
441,206.696
442,207.137
443,207.582
444,208.023
445,208.47
446,208.914
447,209.355
448,209.799
449,210.239
450,210.684
451,211.123
452,211.571
453,212.012
454,212.452
455,212.892
456,213.334
457,213.769
458,214.21
459,214.644
460,215.089
461,215.533
462,215.973
463,216.418
464,216.859
465,217.303
466,217.747
467,218.194
468,218.637
469,219.085
470,219.533
471,219.971
472,220.414
473,220.853
474,221.296
475,221.739
476,222.175
477,222.611
478,223.049
479,223.495
480,223.935
481,224.373
482,224.807
483,225.248
484,225.689
485,226.121
486,226.56
487,226.995
488,227.438
489,227.871
490,228.31
491,228.749
492,229.184
493,229.619
494,230.057
495,230.492
496,230.935
497,231.369
498,231.801
499,232.239
500,232.678
501,233.118
502,233.558
503,233.991
504,234.428
505,234.863
506,235.319
507,235.758
508,236.198
509,236.636
510,237.072
511,237.514
512,237.954
513,238.392
514,238.828
515,239.267
516,239.704
517,240.147
518,240.584
519,241.02
520,241.459
521,241.896
522,242.337
523,242.785
524,243.242
525,243.684
526,244.13
527,244.569
528,245.008
529,245.45
530,245.888
531,246.327
532,246.763
533,247.205
534,247.644
535,248.086
536,248.526
537,248.964
538,249.402
539,249.844
540,250.283
541,250.721
542,251.158
543,251.601
544,252.045
545,252.485
546,252.927
547,253.402
548,253.841
549,254.299
550,254.736
551,255.174
552,255.616
553,256.055
554,256.493
555,256.931
556,257.366
557,257.804
558,258.241
559,258.679
560,259.118
561,259.557
562,259.994
563,260.433
564,260.87
565,261.318
566,261.765
567,262.207
568,262.644
569,263.083
570,263.519
571,263.956
572,264.392
573,264.825
574,265.26
575,265.697
