仿真时间,持续时间
0,0
1,0.785
2,1.599
3,2.352
4,3.237
5,4.129
6,5.111
7,6.096
8,6.94
9,7.788
10,8.529
11,9.27
12,10.006
13,10.694
14,11.39
15,12.102
16,12.821
17,13.526
18,14.219
19,14.907
20,15.586
21,16.265
22,16.943
23,17.62
24,18.29
25,18.96
26,19.625
27,20.288
28,20.942
29,21.588
30,22.232
31,22.877
32,23.527
33,24.172
34,24.804
35,25.442
36,26.08
37,26.713
38,27.36
39,27.993
40,28.638
41,29.298
42,29.958
43,30.741
44,31.457
45,32.141
46,32.788
47,33.46
48,34.096
49,34.72
50,35.336
51,35.962
52,36.582
53,37.202
54,37.819
55,38.436
56,39.064
57,39.715
58,40.377
59,41.064
60,41.776
61,42.496
62,43.23
63,43.96
64,44.679
65,45.406
66,46.132
67,46.861
68,47.586
69,48.324
70,49.054
71,49.783
72,50.505
73,51.236
74,51.965
75,52.704
76,53.431
77,54.155
78,54.89
79,55.615
80,56.341
81,57.064
82,57.796
83,58.516
84,59.252
85,60.011
86,60.795
87,61.579
88,62.39
89,63.195
90,64.028
91,64.792
92,65.568
93,66.375
94,67.203
95,68.008
96,68.749
97,69.502
98,70.273
99,71.064
100,71.891
101,72.718
102,73.478
103,74.215
104,74.967
105,75.744
106,76.539
107,77.292
108,78.016
109,78.759
110,79.521
111,80.322
112,81.102
113,81.874
114,82.573
115,83.291
116,84.026
117,84.776
118,85.524
119,86.217
120,86.91
121,87.601
122,88.31
123,89.03
124,89.736
125,90.39
126,91.054
127,91.725
128,92.4
129,93.1
130,93.791
131,94.446
132,95.144
133,95.816
134,96.491
135,97.211
136,97.89
137,98.524
138,99.171
139,99.835
140,100.539
141,101.239
142,101.906
143,102.56
144,103.197
145,103.843
146,104.487
147,105.156
148,105.877
149,106.497
150,107.145
151,107.788
152,108.428
153,109.109
154,109.768
155,110.411
156,111.032
157,111.659
158,112.298
159,112.949
160,113.593
161,114.215
162,114.835
163,115.472
164,116.137
165,116.79
166,117.428
167,118.044
168,118.663
169,119.297
170,119.944
171,120.588
172,121.234
173,121.866
174,122.48
175,123.127
176,123.783
177,124.427
178,125.072
179,125.681
180,126.302
181,126.953
182,127.592
183,128.241
184,128.885
185,129.513
186,130.127
187,130.756
188,131.391
189,132.039
190,132.683
191,133.293
192,133.919
193,134.547
194,135.185
195,135.831
196,136.463
197,137.068
198,137.688
199,138.314
200,138.951
201,139.593
202,140.247
203,140.866
204,141.469
205,142.083
206,142.71
207,143.338
208,143.985
209,144.606
210,145.205
211,145.81
212,146.411
213,147.011
214,147.61
215,148.209
216,148.813
217,149.405
218,150.012
219,150.628
220,151.258
221,151.9
222,152.543
223,153.183
224,153.8
225,154.408
226,155.035
227,155.665
228,156.307
229,156.926
230,157.526
231,158.148
232,158.784
233,159.418
234,160.057
235,160.694
236,161.292
237,161.908
238,162.532
239,163.167
240,163.814
241,164.428
242,165.042
243,165.66
244,166.287
245,166.927
246,167.567
247,168.204
248,168.81
249,169.422
250,170.051
251,170.687
252,171.321
253,171.96
254,172.57
255,173.182
256,173.805
257,174.429
258,175.065
259,175.696
260,176.283
261,176.888
262,177.486
263,178.1
264,178.721
265,179.348
266,179.996
267,180.629
268,181.249
269,181.857
270,182.469
271,183.097
272,183.728
273,184.366
274,185
275,185.611
276,186.22
277,186.85
278,187.483
279,188.121
280,188.761
281,189.355
282,189.945
283,190.546
284,191.157
285,191.781
286,192.408
287,193.05
288,193.685
289,194.279
290,194.893
291,195.524
292,196.15
293,196.782
294,197.416
295,198.056
296,198.66
297,199.274
298,199.897
299,200.53
300,201.175
301,201.787
302,202.386
303,203.001
304,203.623
305,204.254
306,204.895
307,205.528
308,206.149
309,206.761
310,207.376
311,208.004
312,208.633
313,209.269
314,209.871
315,210.483
316,211.099
317,211.728
318,212.363
319,212.989
320,213.607
321,214.215
322,214.843
323,215.468
324,216.11
325,216.749
326,217.368
327,217.971
328,218.567
329,219.174
330,219.777
331,220.369
332,220.969
333,221.563
334,222.161
335,222.759
336,223.354
337,223.963
338,224.557
339,225.158
340,225.761
341,226.352
342,226.952
343,227.549
344,228.169
345,228.81
346,229.413
347,230.015
348,230.61
349,231.216
350,231.876
351,232.572
352,233.19
353,233.858
354,234.536
355,235.171
356,235.785
357,236.431
358,237.049
359,237.665
360,238.29
361,238.894
362,239.515
363,240.162
364,240.764
365,241.356
366,241.96
367,242.578
368,243.171
369,243.771
370,244.391
371,244.985
372,245.577
373,246.192
374,246.803
375,247.408
376,248.02
377,248.633
378,249.227
379,249.832
380,250.459
381,251.067
382,251.669
383,252.293
384,252.9
385,253.501
386,254.12
387,254.729
388,255.319
389,255.921
390,256.557
391,257.155
392,257.754
393,258.4
394,259.013
395,259.618
396,260.274
397,260.877
398,261.473
399,262.085
400,262.692
401,263.287
402,263.891
403,264.523
404,265.146
405,265.778
406,266.438
407,267.073
408,267.679
409,268.297
410,268.895
411,269.491
412,270.108
413,270.744
414,271.379
415,272.001
416,272.639
417,273.237
418,273.874
419,274.512
420,275.128
421,275.738
422,276.358
423,276.963
424,277.557
425,278.163
426,278.769
427,279.361
428,279.978
429,280.59
430,281.183
431,281.779
432,282.389
433,282.987
434,283.581
435,284.183
436,284.788
437,285.379
438,285.98
439,286.595
440,287.188
441,287.786
442,288.397
443,288.997
444,289.592
445,290.197
446,290.802
447,291.397
448,291.999
449,292.612
450,293.23
451,293.867
452,294.493
453,295.092
454,295.69
455,296.298
456,296.9
457,297.493
458,298.099
459,298.711
460,299.302
461,299.905
462,300.516
463,301.111
464,301.707
465,302.315
466,302.92
467,303.513
468,304.119
469,304.733
470,305.324
471,305.926
472,306.533
473,307.126
474,307.738
475,308.344
476,308.942
477,309.533
478,310.135
479,310.742
480,311.333
481,311.931
482,312.536
483,313.154
484,313.748
485,314.359
486,314.959
487,315.555
488,316.16
489,316.771
490,317.364
491,317.967
492,318.571
493,319.165
494,319.761
495,320.372
496,320.973
497,321.565
498,322.171
499,322.78
500,323.376
501,323.977
502,324.584
503,325.18
504,325.778
505,326.388
506,326.985
507,327.579
508,328.185
509,328.792
510,329.391
511,329.999
512,330.609
513,331.203
514,331.798
515,332.408
516,333.005
517,333.6
518,334.204
519,334.804
520,335.401
521,335.999
522,336.605
523,337.201
524,337.804
525,338.42
526,339.051
527,339.656
528,340.267
529,340.867
530,341.468
531,342.074
532,342.68
533,343.274
534,343.87
535,344.479
536,345.07
537,345.662
538,346.271
539,346.874
540,347.472
541,348.076
542,348.676
543,349.269
544,349.868
545,350.476
546,351.081
547,351.699
548,352.336
549,352.976
550,353.611
551,354.247
552,354.848
553,355.441
554,356.043
555,356.65
556,357.243
557,357.841
558,358.453
559,359.049
560,359.649
561,360.255
562,360.857
563,361.448
564,362.049
565,362.657
566,363.25
567,363.845
568,364.472
569,365.089
570,365.692
571,366.294
572,366.895
573,367.5
574,368.17
575,368.814
576,369.438
577,370.073
