仿真时间,持续时间
0,0
1,0.57
2,1.165
3,1.771
4,2.387
5,3.044
6,3.752
7,4.515
8,5.328
9,6.169
10,6.964
11,7.794
12,8.64
13,9.49
14,10.271
15,11.041
16,11.819
17,12.606
18,13.416
19,14.206
20,15.009
21,15.787
22,16.521
23,17.284
24,18.069
25,18.873
26,19.682
27,20.488
28,21.313
29,22.036
30,22.786
31,23.558
32,24.346
33,25.139
34,25.925
35,26.715
36,27.418
37,28.129
38,28.861
39,29.612
40,30.376
41,31.158
42,31.859
43,32.563
44,33.261
45,33.955
46,34.652
47,35.346
48,36.037
49,36.737
50,37.424
51,38.11
52,38.798
53,39.485
54,40.172
55,40.859
56,41.549
57,42.231
58,42.914
59,43.597
60,44.288
61,44.978
62,45.66
