车辆数,仿真时间,持续时间,每秒耗时,每秒每车耗时
10.0,20.0,2.682,0.1341,0.011175
20.0,20.0,3.044,0.1522,0.006918181818181818
30.0,20.0,3.782,0.1891,0.005909375
40.0,20.0,4.584,0.2292,0.005457142857142857
50.0,20.0,5.44,0.272,0.0052307692307692315
60.0,20.0,6.117,0.30585,0.004933064516129033
70.0,20.0,7.092,0.35459999999999997,0.004925
80.0,20.0,7.597,0.37985,0.004632317073170732
90.0,23.0,9.7,0.42173913043478256,0.004584120982986767
100.0,27.0,12.037,0.44581481481481483,0.004370733478576616
110.0,31.0,15.237,0.49151612903225805,0.004388536866359447
120.0,35.0,18.487,0.5282,0.004329508196721311
130.0,39.0,21.821,0.5595128205128206,0.004238733488733489
140.0,43.0,24.947,0.5801627906976744,0.004085653455617426
150.0,48.0,29.889,0.6226875,0.0040966282894736835
160.0,52.0,34.168,0.6570769230769231,0.004056030389363723
170.0,57.0,39.6,0.6947368421052632,0.004039167686658507
180.0,62.0,45.66,0.7364516129032258,0.004046437433534208
190.0,67.0,53.204,0.794089552238806,0.004135883084577114
200.0,73.0,60.011,0.822068493150685,0.00406964600569646
