仿真时间,持续时间
0,0
1,3.075
2,5.143
3,7.267
4,9.586
5,11.929
6,14.439
7,17.102
8,19.928
9,22.91
10,25.748
11,28.57
12,31.531
13,34.495
14,37.252
15,40.067
16,42.921
17,45.594
18,48.317
19,51.002
20,53.654
21,56.278
22,58.913
23,61.69
24,64.36
25,67.059
26,69.832
27,72.449
28,75.132
29,77.849
30,80.517
31,83.22
32,85.844
33,88.471
34,91.187
35,93.764
36,96.4
37,99.044
38,101.603
39,104.223
40,106.845
41,109.389
42,111.876
43,114.46
44,117.007
45,119.504
46,122.11
47,124.61
48,127.115
49,129.701
50,132.161
51,134.661
52,137.245
53,139.695
54,142.261
55,144.78
56,147.244
57,149.74
58,152.159
59,154.652
60,157.153
61,159.602
62,162.081
63,164.563
64,167
65,169.512
66,171.926
67,174.393
68,176.863
69,179.286
70,181.757
71,184.253
72,186.719
73,189.193
