仿真时间,持续时间
0,0
1,1.626
2,3.312
3,5.101
4,6.98
5,8.992
6,11.041
7,13.255
8,15.585
9,17.868
10,20.327
11,22.75
12,25.172
13,27.611
14,29.886
15,32.248
16,34.573
17,36.79
18,39.083
19,41.332
20,43.576
21,45.845
22,48.105
23,50.449
24,52.703
25,54.994
26,57.347
27,59.586
28,61.858
29,64.142
30,66.36
31,68.547
32,70.832
33,73.109
34,75.278
35,77.548
36,79.732
37,81.892
38,84.142
39,86.256
40,88.413
41,90.614
42,92.708
43,94.867
44,97.062
45,99.083
46,101.203
47,103.382
48,105.434
49,107.566
50,109.72
51,111.772
52,113.911
53,115.999
54,118.054
55,120.237
56,122.288
57,124.355
58,126.513
59,128.547
60,130.645
61,132.771
62,134.806
